file,defect_type,detail
fire-station-loft-bed.json,tier-overstated,tier-overstated: TIER_5 but costMax 50000 -> TIER_4
floating-walnut-shelves.json,published-no-image,published-no-image
floor-standing-headboard.json,published-no-image,published-no-image
folding-guitar-stand.json,published-no-image,published-no-image
folding-workbench-caster-base.json,tier-overstated,tier-overstated: TIER_3 but costMax 15000 -> TIER_2
footed-charcuterie-board.json,published-no-image,published-no-image
full-depth-storage-daybed.json,tier-overstated,tier-overstated: TIER_5 but costMax 60000 -> TIER_4
full-storage-captains-bed.json,tier-overstated,tier-overstated: TIER_4 but costMax 34000 -> TIER_3
garden-arbor-bench.json,published-no-image,published-no-image
garden-bench.json,tier-overstated,tier-overstated: TIER_3 but costMax 14000 -> TIER_2
garden-storage-shed.json,published-no-image,published-no-image
homestead-bench.json,published-no-image,published-no-image
homestead-console-table.json,published-no-image,published-no-image
homestead-end-table.json,published-no-image,published-no-image
how-to-make-a-corner-clamp.json,published-no-image,published-no-image
how-to-make-a-corner-clamp.json,board-feet-unit-variant,board-feet-unit-variant: board ft
hudson-dresser.json,tier-overstated,tier-overstated: TIER_5 but costMax 65000 -> TIER_4
jacobs-ladder-toy.json,published-no-image,published-no-image
jacobs-ladder-toy.json,board-feet-unit-variant,board-feet-unit-variant: board ft
kids-pretend-play-vendor-cart.json,tier-overstated,tier-overstated: TIER_3 but costMax 15000 -> TIER_2
kids-toolbox.json,published-no-image,published-no-image
kitchen-cabinet-2x4-base.json,tier-overstated,tier-overstated: TIER_4 but costMax 26000 -> TIER_3
large-4-drawer-dresser.json,tier-overstated,tier-overstated: TIER_4 but costMax 34000 -> TIER_3
large-dog-house.json,published-no-image,published-no-image
large-firewood-box.json,tier-overstated,tier-overstated: TIER_3 but costMax 13000 -> TIER_2
large-three-sided-outdoor-bar.json,published-no-image,published-no-image
leopold-bench.json,published-no-image,published-no-image
live-edge-coffee-table.json,published-no-image,published-no-image
long-modern-media-console.json,tier-overstated,tier-overstated: TIER_4 but costMax 34000 -> TIER_3
low-rise-candle-holder.json,published-no-image,published-no-image
low-rise-candle-holder.json,board-feet-unit-variant,board-feet-unit-variant: board ft
magnetic-knife-block.json,published-no-image,published-no-image
matts-media-tower.json,published-no-image,published-no-image
media-console-board-and-batten.json,tier-overstated,tier-overstated: TIER_4 but costMax 32000 -> TIER_3
midcentury-bar-console-cabinet.json,tier-overstated,tier-overstated: TIER_4 but costMax 32000 -> TIER_3
mirrored-pinboard-changing-screen.json,tier-overstated,tier-overstated: TIER_4 but costMax 26000 -> TIER_3
modern-industrial-bookshelf-wheels.json,tier-overstated,tier-overstated: TIER_4 but costMax 28000 -> TIER_3
modern-nesting-tables.json,published-no-image,published-no-image
modern-tall-dresser.json,published-no-image,published-no-image
multi-guitar-stand.json,published-no-image,published-no-image
narrow-secretary-cabinet-mail-slots.json,tier-overstated,tier-overstated: TIER_4 but costMax 30000 -> TIER_3
nesting-cutting-boards-and-egg-holder.json,published-no-image,published-no-image
nesting-cutting-boards-and-egg-holder.json,board-feet-unit-variant,board-feet-unit-variant: board ft
nightstand-with-drawer.json,published-no-image,published-no-image
oak-coat-rack.json,published-no-image,published-no-image
ombre-cutting-board.json,published-no-image,published-no-image
ombre-cutting-board.json,board-feet-unit-variant,board-feet-unit-variant: board ft
one-board-magazine-rack.json,published-no-image,published-no-image
open-shelf-console-table.json,published-no-image,published-no-image
outdoor-chaise-lounge-2x4.json,unpriced-material,"unpriced-material: Outdoor cushion or mattress, 30 x 75"
outdoor-grill-cart.json,published-no-image,published-no-image
outdoor-loveseat-modern-comfort.json,unpriced-material,"unpriced-material: Loveseat cushions, seat and back"
outdoor-sectional-armless.json,unpriced-material,"unpriced-material: Outdoor cushions, 24 x 24"
outdoor-x-base-table.json,tier-overstated,tier-overstated: TIER_3 but costMax 13500 -> TIER_2
pine-and-plain-rectangle-coffee-table.json,tier-overstated,tier-overstated: TIER_3 but costMax 15000 -> TIER_2
pine-bookcase.json,published-no-image,published-no-image
plant-stand-magazine-rack.json,published-no-image,published-no-image
platform-bed-frame-queen.json,published-no-image,published-no-image
plywood-jewelry-box.json,published-no-image,published-no-image
plywood-picture-frame.json,published-no-image,published-no-image
portable-tool-rack.json,published-no-image,published-no-image
pretend-play-coffee-cart-espresso-machine.json,tier-overstated,tier-overstated: TIER_2 but costMax 5000 -> TIER_1
pvc-window-box.json,published-no-image,published-no-image
rip-jig-for-circular-saw.json,unpriced-material,"unpriced-material: Scrap wood or foam, for elevating stock"
rolling-lumber-cart.json,published-no-image,published-no-image
rolling-shop-cart.json,published-no-image,published-no-image
router-table-fence.json,published-no-image,published-no-image
rustic-modern-king-canopy-bed.json,duplicate-material-line,"duplicate-material-line: 2x4, 8 ft"
salt-pepper-shakers.json,published-no-image,published-no-image
shaker-step-stool.json,published-no-image,published-no-image
side-base-cabinets.json,tier-overstated,tier-overstated: TIER_4 but costMax 26000 -> TIER_3
side-hutches-board-and-batten.json,tier-overstated,tier-overstated: TIER_3 but costMax 14000 -> TIER_2
side-street-modern-bunk-beds.json,tier-overstated,tier-overstated: TIER_5 but costMax 75000 -> TIER_4
simple-bat-house.json,published-no-image,published-no-image
simple-closet-organizer.json,tier-overstated,tier-overstated: TIER_3 but costMax 13000 -> TIER_2
small-square-farmhouse-table.json,published-no-image,published-no-image
spice-drawer-organizer.json,published-no-image,published-no-image
spice-drawer-organizer.json,board-feet-unit-variant,board-feet-unit-variant: board ft
splayed-leg-bench-stool.json,tier-overstated,tier-overstated: TIER_2 but costMax 5000 -> TIER_1
stacking-sawhorses.json,published-no-image,published-no-image
storage-bed-with-drawers-king.json,tier-overstated,tier-overstated: TIER_5 but costMax 75000 -> TIER_4
surfboard-coffee-table.json,tier-overstated,tier-overstated: TIER_2 but costMax 5000 -> TIER_1
timeless-storage-bed-12-drawers.json,tier-overstated,tier-overstated: TIER_5 but costMax 65000 -> TIER_4
tiny-house-loft-bedroom-system.json,board-feet-unit-variant,board-feet-unit-variant: board ft
toy-sink-running-water.json,published-no-image,published-no-image
toy-sink-running-water.json,board-feet-unit-variant,board-feet-unit-variant: board ft
treehouse-bed.json,tier-overstated,tier-overstated: TIER_5 but costMax 60000 -> TIER_4
trellis-planter.json,published-no-image,published-no-image
triple-pedestal-farmhouse-table.json,tier-overstated,tier-overstated: TIER_5 but costMax 60000 -> TIER_4
turned-pepper-mill.json,published-no-image,published-no-image
vintage-pew-bench.json,tier-overstated,tier-overstated: TIER_3 but costMax 13500 -> TIER_2
wall-mounted-clamp-rack.json,published-no-image,published-no-image
wall-mounted-clamp-rack.json,board-feet-unit-variant,board-feet-unit-variant: board ft
wall-mounted-drop-leaf-table.json,published-no-image,published-no-image
wall-mounted-tool-cabinet.json,published-no-image,published-no-image
wooden-centerpiece-tray.json,published-no-image,published-no-image
wooden-gear-wall-clock.json,published-no-image,published-no-image
workbench-with-hutch.json,published-no-image,published-no-image
workbench-with-vise.json,published-no-image,published-no-image
