slug,published,recoverable_via_parked_source_url,priority
pine-and-plain-rectangle-coffee-table,false,true,P2
plant-stand-beverage-bucket-stand,false,true,P2
rhyan-console-table,false,true,P2
rhyan-end-table,false,true,P2
rip-jig-for-circular-saw,false,true,P2
rolling-potting-island,false,true,P2
room-divider-closet,false,true,P2
rotating-standing-photo-display,false,true,P2
rotating-wall-calendar-shelf,false,true,P2
rustic-farmhouse-round-coffee-table,false,true,P2
rustic-kitchen-island,false,true,P2
seed-starter-grow-light-stand,false,true,P2
side-base-cabinets,false,true,P2
side-hutches-board-and-batten,false,true,P2
side-street-modern-bunk-beds,false,true,P2
simple-1x6-storage-shelf,false,true,P2
simple-2x-lumber-hall-tree,false,true,P2
simple-closet-organizer,false,true,P2
simple-end-of-bed-storage-bench,false,true,P2
simple-frame-flips-to-chess-board,false,true,P2
simple-hall-table,false,true,P2
simple-hanging-plant-stand-2x4,false,true,P2
simple-play-kitchen-narrow-fridge,false,true,P2
simple-step-stool-straight-legs,false,true,P2
small-coffee-table-super-simple,false,true,P2
small-modern-desk-keyboard-stand,false,true,P2
space-saving-wall-bike-rack,false,true,P2
stackable-wood-cake-stand,false,true,P2
storage-bed-with-drawers-king,false,true,P2
tall-bench-seat-with-footrest,false,true,P2
timeless-storage-bed-12-drawers,false,true,P2
tongue-and-groove-ottoman-tray,false,true,P2
triple-pedestal-farmhouse-table,false,true,P2
tryde-coffee-table,false,true,P2
vintage-toddler-bed,false,true,P2
wall-mounted-boot-rack,false,true,P2
wall-mounted-rifle-storage-rack,false,true,P2
waterfall-framed-grand-console-table,false,true,P2
wide-dresser-open-bottom-shelf,false,true,P2
wide-entryway-console-open-shelves,false,true,P2
wood-christmas-tree-shelf,false,true,P2
wood-lantern,false,true,P2
wood-slat-low-shelving-unit,false,true,P2
wood-sleigh-decor,false,true,P2
wood-step-stool-splayed-legs,false,true,P2
woven-back-bench,false,true,P2
